Source well,Destination well,Transfer volume
A01,E07,100
A01,F02,100
A01,H23,100
A01,M13,100
A02,K10,100
A02,L02,100
A02,L23,100
A03,H24,100
A03,J12,100
A03,O01,100
A04,D22,100
A04,O10,100
A04,O20,100
A05,D12,100
A05,D18,100
A05,M02,100
A05,O22,100
A06,C08,100
A06,F24,100
A06,J09,100
A07,D23,100
A07,G07,100
A07,K14,100
A07,N12,100
A08,B22,100
A08,I19,100
A08,K11,100
A08,P10,100
A09,A14,100
A09,E06,100
A09,L06,100
A09,L15,100
A10,F14,100
A10,G21,100
A10,L01,100
A10,M08,100
A11,A15,100
A11,C12,100
A11,F05,100
A11,F22,100
A12,A07,100
A12,F20,100
A12,O13,100
B01,C13,100
B01,H14,100
B01,O05,100
B01,P06,100
B02,B23,100
B02,H08,100
B02,K06,100
B03,F04,100
B03,G22,100
B03,O03,100
B04,A04,100
B04,B02,100
B04,D19,100
B04,I22,100
B05,B06,100
B05,E17,100
B05,F23,100
B05,G02,100
B06,A01,100
B06,L24,100
B06,N05,100
B07,A17,100
B07,B04,100
B07,B21,100
B08,D06,100
B08,E20,100
B08,M09,100
B09,A12,100
B09,J21,100
B09,M22,100
B09,P12,100
B10,E22,100
B10,J08,100
B10,K03,100
B11,M03,100
B11,N07,100
B11,O16,100
B12,H12,100
B12,H13,100
B12,I11,100
B12,O17,100
C01,B07,100
C01,B15,100
C01,E04,100
C01,K24,100
C02,A21,100
C02,E01,100
C02,F03,100
C02,P22,100
C03,F07,100
C03,I12,100
C03,J14,100
C03,K17,100
C04,K01,100
C04,O19,100
C04,P03,100
C05,H09,100
C05,M15,100
C05,O11,100
C05,P23,100
C06,B16,100
C06,C10,100
C06,C17,100
C06,F12,100
C07,I05,100
C07,I15,100
C07,L12,100
C08,D01,100
C08,E11,100
C08,G23,100
C08,N23,100
C09,D24,100
C09,N03,100
C09,O06,100
C10,B14,100
C10,C03,100
C10,K23,100
C11,C07,100
C11,I14,100
C11,L05,100
C11,P15,100
C12,D15,100
