Source well,Destination well,Transfer volume
A01,D17,100
A01,F04,100
A01,G01,50
A01,G10,50
A01,H10,25
A01,O21,100
A02,B10,100
A02,C24,50
A02,J08,100
A02,K06,50
A02,N20,25
A02,O09,50
A03,A10,25
A03,A21,25
A03,H17,25
A03,K04,50
A03,N09,100
A03,P05,25
A04,E08,100
A04,H08,25
A04,I18,100
A04,K11,25
A04,N11,50
A04,P22,100
A05,D15,100
A05,E23,25
A05,G12,100
A05,H20,25
A05,I04,25
A05,P07,100
A06,F09,50
A06,J05,50
A06,M04,100
A06,O16,100
A06,O24,100
A06,P23,25
A07,C09,25
A07,D05,50
A07,D21,100
A07,I02,50
A07,O17,25
A07,P10,50
B01,G16,100
B01,G24,50
B01,L01,50
B01,L19,50
B01,M06,100
B01,N14,25
B02,E06,50
B02,G19,100
B02,J03,50
B02,L16,25
B02,L18,50
B02,O15,100
B03,B03,25
B03,E24,25
B03,H15,25
B03,I07,50
B03,K15,100
B03,P17,50
B04,C19,100
B04,F15,25
B04,F23,25
B04,G04,100
B04,M11,25
B04,N06,100
B05,E01,25
B05,E10,50
B05,H24,50
B05,J04,100
B05,K21,25
B05,P09,25
B06,A07,25
B06,D13,50
B06,D22,50
B06,G15,25
B06,M23,50
B06,N08,25
B07,A24,100
B07,B01,100
B07,B18,100
B07,C02,25
B07,G13,50
B07,J14,50
C01,A05,100
C01,B15,100
C01,C13,25
C01,J02,25
C01,J23,25
C01,K20,100
C02,H07,50
C02,I10,50
C02,K18,50
C02,L22,50
C02,M02,100
C02,P11,100
C03,B07,25
C03,B14,50
C03,C15,100
C03,F21,50
C03,M20,50
C03,O02,100
C04,B09,50
C04,C16,25
C04,D01,25
C04,H18,100
C04,I20,50
C04,O03,50
C05,F17,100
C05,H06,100
C05,I16,50
C05,K01,25
C05,K23,50
C05,L13,100
C06,A02,25
C06,D02,50
C06,F13,25
C06,I12,50
C06,I21,25
C06,N22,25
C07,E04,25
C07,K12,100
C07,L05,50
C07,M18,25
C07,N21,100
C07,P14,100
D01,D14,100
D01,D24,25
D01,G07,100
D01,J01,50
D01,K13,100
D01,M19,100
D02,D20,100
D02,E02,50
D02,G17,50
D02,I11,50
D02,L12,25
D02,P03,25
D03,C18,100
D03,D03,100
D03,G05,100
D03,H19,100
D03,J13,50
D03,M15,25
D04,E09,100
D04,K02,25
D04,K17,50
D04,N05,50
D04,N10,25
D04,N24,25
D05,C10,25
D05,D09,50
D05,E19,25
D05,F06,25
D05,M03,100
D05,N19,50
D06,E21,100
D06,F18,50
D06,G09,100
D06,J12,100
D06,K05,100
D06,P01,100
D07,B04,25
D07,B16,25
D07,C03,100
D07,H23,100
D07,K14,25
D07,M22,100
E01,B13,100
E01,E18,50
E01,H01,100
E01,K03,25
E01,L20,25
E01,O11,25
E02,A11,100
E02,D06,100
E02,G03,25
E02,J15,50
E02,K19,25
E02,L21,50
E03,C20,100
E03,E15,100
E03,H02,25
E03,H14,25
E03,J18,100
E03,M08,25
E04,B17,25
E04,C22,25
E04,H09,50
E04,I14,50
E04,J06,100
E04,K08,50
E05,A01,25
E05,D19,100
E05,F07,50
E05,G22,50
E05,I15,25
E05,P15,25
E06,B20,50
E06,E20,50
E06,K07,50
E06,L04,100
E06,M14,50
E06,N13,50
E07,A23,25
E07,F14,50
E07,F20,50
E07,M07,100
E07,O10,25
E07,P04,25
F01,B19,100
F01,C17,50
F01,G06,50
F01,I13,100
F01,L07,50
F01,N12,100
F02,D16,100
F02,F02,50
F02,G21,25
F02,I06,25
F02,M10,25
F02,N23,25
F03,B12,100
F03,D07,50
F03,D23,100
F03,I09,50
F03,I19,50
F03,O05,50
F04,A03,50
F04,F16,25
F04,F22,25
F04,J07,25
F04,M21,25
F04,O14,50
F05,C07,25
F05,E11,100
F05,H13,50
F05,I23,25
F05,J20,50
F05,N02,100
F06,J19,25
F06,L11,25
F06,M09,50
F06,N03,25
F06,O08,50
F06,O22,100
F07,A18,100
F07,I03,100
F07,J11,100
F07,L24,50
F07,O12,50
F07,P06,50
G01,A04,100
G01,E16,50
G01,F11,50
G01,H21,100
G01,I22,100
G01,N04,25
G02,A09,100
G02,A20,100
G02,G02,25
G02,N07,50
G02,P12,100
G02,P20,50
G03,D08,25
G03,J17,25
G03,M12,50
G03,O01,50
G03,O19,50
G03,P13,25
G04,B22,100
G04,C01,25
G04,H16,25
G04,K16,25
G04,L02,50
G04,O23,25
G05,C08,50
G05,C11,50
G05,C21,50
G05,D04,50
G05,D10,50
G05,J24,50
G06,A22,50
G06,F24,50
G06,G11,100
G06,I01,25
G06,L08,25
G06,L09,100
G07,F05,100
G07,K22,50
G07,N15,25
G07,N18,100
G07,O07,50
G07,O13,25
H01,A08,100
H01,A15,100
H01,B23,25
H01,E22,100
H01,J16,50
H01,N01,100
H02,B24,25
H02,C06,50
H02,E14,100
H02,G18,50
H02,H03,25
H02,L10,50
H03,A13,50
H03,G23,100
H03,H12,50
H03,J22,100
H03,M01,50
H03,P02,100
H04,A12,25
H04,B06,50
H04,B11,25
H04,C05,100
H04,D18,100
H04,O20,25
H05,B02,25
H05,C23,25
H05,G08,100
H05,J10,25
H05,J21,100
H05,M13,25
H06,A16,100
H06,D12,25
H06,E05,25
H06,F01,50
H06,I24,25
H06,P24,50
H07,C04,25
H07,D11,50
H07,H04,100
H07,I17,100
H07,M16,50
H07,N17,25
I01,A14,25
I01,A19,50
I01,F08,100
I01,H11,25
I01,I05,100
I01,L17,25
I02,E07,25
I02,E13,25
I02,F10,100
I02,H22,50
I02,K24,25
I02,P08,25
I03,A17,100
I03,C12,50
I03,J09,50
I03,L06,100
I03,M05,100
I03,P21,100
I04,A06,50
I04,C14,50
I04,L03,50
I04,L15,100
I04,L23,50
I04,O18,25
I05,E12,100
I05,F03,25
I05,G20,50
I05,N16,100
I05,O06,100
I05,P18,25
I06,B08,100
I06,B21,25
I06,E17,25
I06,G14,25
I06,L14,100
I06,O04,25
I07,E03,50
I07,H05,50
I07,K09,100
I07,M17,100
I07,P16,100
I07,P19,50
J03,B05,25
J03,I08,25
J04,M24,25
J05,F19,25
J05,K10,25
J07,F12,25
K02,A03,25
K02,B04,25
K02,B05,25
K02,B13,25
K02,C01,25
K02,C09,25
K02,C18,25
K02,C21,25
K02,C22,25
K02,D12,25
K02,D13,25
K02,D18,25
K02,D20,25
K02,D21,25
K02,E06,25
K02,E12,25
K02,E15,25
K02,E17,25
K02,E20,25
K02,E22,25
K02,E23,25
K02,F12,25
K02,F14,25
K02,F19,25
K02,F22,25
K02,G08,25
K02,H10,25
K02,I08,25
K02,I11,25
K02,I12,25
K02,J01,25
K02,J02,25
K02,J04,25
K02,J09,25
K02,J23,25
K02,K01,25
K02,K03,25
K02,K10,25
K02,K15,25
K02,K20,25
K02,L01,25
K02,L03,25
K02,L04,25
K02,L06,25
K02,L18,25
K02,L21,25
K02,M06,25
K02,M07,25
K02,M10,25
K02,M12,25
K02,M13,25
K02,M20,25
K02,M24,25
K02,N16,25
K02,N17,25
K02,O07,25
K02,P08,25
K02,P14,25
K02,P15,25
K02,P20,25
K03,A02,25
K03,A06,25
K03,A13,25
K03,A16,25
K03,A20,25
K03,A23,25
K03,A24,25
K03,B02,25
K03,B08,25
K03,B16,25
K03,B23,25
K03,C05,25
K03,D05,25
K03,D19,25
K03,D24,25
K03,E13,25
K03,E18,25
K03,F10,25
K03,G01,25
K03,G04,25
K03,G05,25
K03,G06,25
K03,G15,25
K03,G16,25
K03,G18,25
K03,H02,25
K03,H05,25
K03,H08,25
K03,H12,25
K03,H15,25
K03,H18,25
K03,H22,25
K03,H24,25
K03,I01,25
K03,I06,25
K03,I13,25
K03,J06,25
K03,J15,25
K03,J21,25
K03,K23,25
K03,L24,25
K03,M19,25
K03,N05,25
K03,N06,25
K03,N12,25
K03,O09,25
K03,O11,25
K03,O12,25
K03,O17,25
K03,O18,25
K03,P10,25
K03,P11,25
K03,P13,25
K03,P23,25
K04,A19,25
K04,B03,25
K04,B11,25
K04,B14,25
K04,B15,25
K04,C07,25
K04,C08,25
K04,C15,25
K04,C16,25
K04,D08,25
K04,D14,25
K04,E16,25
K04,E19,25
K04,F20,25
K04,G02,25
K04,G10,25
K04,H07,25
K04,H13,25
K04,H14,25
K04,H17,25
K04,H23,25
K04,I03,25
K04,I04,25
K04,I05,25
K04,I18,25
K04,I20,25
K04,I22,25
K04,J08,25
K04,J19,25
K04,J22,25
K04,K04,25
K04,K09,25
K04,K13,25
K04,K17,25
K04,K21,25
K04,L02,25
K04,L07,25
K04,L10,25
K04,L14,25
K04,L16,25
K04,L19,25
K04,L23,25
K04,M14,25
K04,M15,25
K04,M22,25
K04,N01,25
K04,N03,25
K04,O02,25
K04,O05,25
K04,O13,25
K04,O20,25
K04,P01,25
K04,P18,25
K04,P22,25
K05,A04,25
K05,A11,25
K05,A12,25
K05,A18,25
K05,B07,25
K05,B10,25
K05,B18,25
K05,B20,25
K05,C02,25
K05,C03,25
K05,C11,25
K05,C19,25
K05,C24,25
K05,D09,25
K05,E05,25
K05,E08,25
K05,E14,25
K05,E24,25
K05,F04,25
K05,F05,25
K05,F11,25
K05,F16,25
K05,F21,25
K05,F24,25
K05,G03,25
K05,G17,25
K05,H01,25
K05,H03,25
K05,I14,25
K05,I15,25
K05,I16,25
K05,I17,25
K05,I24,25
K05,J05,25
K05,J11,25
K05,J17,25
K05,J18,25
K05,K06,25
K05,K11,25
K05,K19,25
K05,K22,25
K05,L15,25
K05,L20,25
K05,N07,25
K05,N11,25
K05,N15,25
K05,N18,25
K05,N22,25
K05,O01,25
K05,O08,25
K05,O15,25
K05,P03,25
K05,P06,25
K05,P09,25
K06,A05,25
K06,A07,25
K06,A08,25
K06,A10,25
K06,A15,25
K06,B12,25
K06,B19,25
K06,B24,25
K06,C14,25
K06,C17,25
K06,C23,25
K06,D02,25
K06,D06,25
