Source well,Destination well,Transfer volume
A01,A08,25
A01,C15,100
A01,E22,50
A01,F14,25
A01,L06,100
A01,L19,25
A02,B04,50
A02,D14,100
A02,G08,100
A02,I16,25
A02,I21,25
A02,N20,25
A03,B02,50
A03,B24,50
A03,I06,50
A03,K20,25
A03,L13,50
A03,O11,25
A04,F08,100
A04,G09,25
A04,K07,100
A04,K22,50
A04,N15,25
A04,N19,25
A05,B14,50
A05,B18,100
A05,E01,25
A05,G17,25
A05,M14,50
A05,P08,100
A06,A07,25
A06,D09,25
A06,E23,50
A06,I15,100
A06,J24,25
A06,P06,25
A07,B10,50
A07,B22,100
A07,E05,50
A07,I22,100
A07,M09,50
A07,P01,100
B01,A14,50
B01,A18,100
B01,E04,25
B01,H08,25
B01,H10,100
B01,H24,50
B02,B07,25
B02,C07,25
B02,E18,100
B02,J09,25
B02,N24,50
B02,O10,50
B03,B08,50
B03,C05,25
B03,G13,100
B03,G19,25
B03,J20,100
B03,L16,100
B04,C01,100
B04,E21,100
B04,G15,50
B04,H01,50
B04,N23,50
B04,P12,25
B05,C10,100
B05,D24,50
B05,F15,100
B05,G20,50
B05,N02,25
B05,O05,50
B06,A21,50
B06,C03,50
B06,D15,100
B06,F21,25
B06,J07,25
B06,K10,100
B07,C02,50
B07,F01,50
B07,H19,100
B07,K13,50
B07,K21,50
B07,P10,25
C01,A16,25
C01,C20,100
C01,D18,25
C01,E03,100
C01,H02,100
C01,N11,100
C02,A10,50
C02,H05,100
C02,I05,100
C02,K24,25
C02,L24,100
C02,N12,50
C03,C14,25
C03,C23,25
C03,H09,50
C03,L07,100
C03,O04,100
C03,P17,100
C04,A11,25
C04,D05,25
C04,D20,50
C04,F09,50
C04,G06,25
C04,I18,25
C05,A12,100
C05,A20,50
C05,B05,50
C05,H17,100
C05,I04,50
C05,L10,25
C06,A05,50
C06,F23,50
C06,G14,25
C06,J08,50
C06,K19,100
C06,N09,100
C07,A06,100
C07,C16,100
C07,H15,50
C07,M22,100
C07,N01,25
C07,N18,25
D01,A19,50
D01,B20,100
D01,H12,50
D01,K05,50
D01,K12,25
D01,P07,50
D02,F05,25
D02,G01,50
D02,H23,50
D02,I13,100
D02,K18,25
D02,N16,25
D03,C24,100
D03,H21,25
D03,L03,50
D03,O07,100
D03,O15,50
D03,P11,25
D04,C22,25
D04,E15,50
D04,G02,25
D04,J06,100
D04,J13,100
D04,J22,50
D05,A13,100
D05,J03,100
D05,J19,50
D05,K03,50
D05,K17,100
D05,L14,50
D06,A02,100
D06,D02,25
D06,F10,25
D06,J17,25
D06,K15,100
D06,O22,50
D07,A03,100
D07,D16,100
D07,J01,100
D07,K14,50
D07,M19,25
D07,P23,25
E01,I24,100
E01,M08,50
E01,O12,50
E01,P04,25
E01,P14,50
E01,P20,100
E02,A09,25
E02,D03,50
E02,D21,25
E02,J15,25
E02,K06,100
E02,M17,50
E03,B17,100
E03,I01,25
E03,J04,50
E03,K23,25
E03,L11,25
E03,M13,25
E04,E10,100
E04,E17,50
E04,G03,25
E04,H07,25
E04,H11,100
E04,P21,100
E05,F06,50
E05,F11,100
E05,L17,50
E05,M11,50
E05,O08,25
E05,O17,50
E06,E02,50
E06,I17,100
E06,J02,100
E06,L18,100
E06,M16,50
E06,N10,25
E07,A04,50
E07,C19,100
E07,L09,100
E07,M15,50
E07,P03,50
E07,P24,50
F01,A15,25
F01,A24,50
F01,E06,25
F01,F22,50
F01,L12,50
F01,P02,25
F02,B13,100
F02,F24,25
F02,G05,25
F02,H03,25
F02,I10,100
F02,I19,100
F03,D22,100
F03,J11,25
