Source well,Destination well,Transfer volume
A01,B01,25
A01,E18,100
A01,F23,100
A01,H15,50
A01,O06,25
A01,O12,100
A02,C17,50
A02,F06,50
A02,G11,50
A02,H09,100
A02,J19,50
A02,O08,100
A03,A19,50
A03,E03,25
A03,H07,50
A03,J23,50
A03,O13,25
A03,P13,50
A04,A23,25
A04,D10,25
A04,D18,100
A04,E04,100
A04,K12,25
A04,L06,100
A05,E14,50
A05,F13,50
A05,I18,25
A05,J24,25
A05,K02,50
A05,L01,50
A06,A09,25
A06,D13,100
A06,I17,100
A06,J04,100
A06,O07,100
A06,P21,25
A07,D17,100
A07,F02,100
A07,I23,25
A07,J16,50
A07,K01,25
A07,O11,25
B01,E16,25
B01,G21,50
B01,L19,50
B01,M01,100
B01,N13,100
B01,P06,50
B02,C14,100
B02,D16,25
B02,G17,100
B02,L20,100
B02,M05,50
B02,N06,100
B03,A06,100
B03,B08,25
B03,G12,100
B03,I22,25
B03,N16,25
B03,N19,25
B04,E15,25
B04,E17,25
B04,H16,25
B04,J22,25
B04,M08,100
B04,N07,25
B05,F16,50
B05,G05,25
B05,K09,25
B05,L23,25
B05,M22,100
B05,N05,25
B06,B09,25
B06,E12,100
B06,G04,50
B06,J05,100
B06,O22,50
B06,P23,50
B07,C18,50
B07,D06,25
B07,M03,50
B07,N12,50
B07,O09,50
B07,P17,50
C01,E08,25
C01,H01,50
C01,J14,100
C01,M09,100
C01,M24,25
C01,P22,25
C02,A02,25
C02,D03,25
C02,I21,100
C02,L18,100
C02,M15,50
C02,P16,100
C03,E10,100
C03,F20,50
C03,G24,100
C03,H05,50
C03,K05,100
C03,P09,100
C04,B10,50
C04,H21,50
C04,I01,50
C04,I15,100
C04,L02,25
C04,O23,50
C05,C05,50
C05,D24,100
C05,G16,50
C05,K18,25
C05,L16,25
C05,N04,100
C06,A10,50
C06,F11,100
C06,J01,50
C06,K24,50
C06,N22,100
C06,O05,50
C07,C22,100
C07,D15,25
C07,H02,100
C07,I06,25
C07,I12,50
C07,N23,25
D01,A05,100
D01,B17,25
D01,E23,50
D01,J08,50
D01,J12,50
D01,M14,100
D02,B13,100
D02,D21,50
D02,E24,25
D02,M07,100
D02,M10,100
D02,P05,50
D03,B04,100
D03,D20,100
D03,F14,25
D03,G19,50
D03,I16,100
D03,M06,100
D04,G18,100
D04,H04,100
D04,K14,100
D04,L11,25
D04,O03,25
D04,P19,25
D05,B21,25
D05,C20,25
D05,F04,100
D05,G15,50
D05,J15,100
D05,O01,100
D06,B23,50
D06,C08,25
D06,F05,100
D06,G09,100
D06,G20,50
D06,H13,100
D07,B02,25
D07,E20,25
D07,H23,100
D07,I13,50
D07,M02,25
D07,N15,100
E01,C19,50
E01,H22,50
E01,K08,50
E01,M11,25
E01,N01,25
E01,N14,25
E02,D07,25
E02,G08,25
E02,H20,25
E02,I19,25
E02,J10,25
E02,K16,50
E03,B19,25
E03,K07,100
E03,L14,100
E03,M20,100
E03,N02,50
E03,O16,25
E04,A14,50
E04,D04,100
E04,I07,50
E04,L13,25
E04,L17,50
E04,M17,100
E05,E22,25
E05,J11,100
E05,M12,50
E05,N21,100
E05,O02,50
E05,P02,25
E06,D01,25
E06,E01,25
E06,E09,25
E06,K21,100
E06,L21,100
E06,N10,50
E07,C11,25
E07,G01,100
E07,J03,50
E07,J20,50
E07,K19,25
E07,L09,50
F01,B14,100
F01,F19,50
F01,G02,25
F01,G14,50
F01,N03,25
F01,O18,100
F02,B12,50
F02,C04,50
F02,I11,25
F02,J02,100
F02,J18,100
F02,M21,25
F03,C03,100
F03,C12,100
F03,F18,100
F03,K22,50
F03,N08,50
F03,P12,50
F04,D11,25
F04,E02,50
F04,F08,25
F04,I20,100
F04,K15,50
F04,L22,100
F05,A04,50
F05,F17,25
F05,H06,50
F05,I10,100
F05,J09,50
F05,O17,100
F06,B07,100
F06,B20,25
F06,C23,50
F06,G07,50
F06,G13,25
F06,P15,25
F07,C07,25
F07,D08,50
F07,F09,50
F07,H17,50
F07,M16,25
F07,M23,50
G01,B24,25
G01,C15,50
G01,D14,25
G01,E19,50
G01,F01,50
G01,M04,100
G02,A03,100
G02,D12,100
G02,F22,25
G02,J06,50
G02,K11,100
G02,K17,25
G03,A20,25
G03,B03,100
G03,C01,50
G03,H12,25
G03,K13,25
G03,L24,25
G04,C13,25
G04,E05,100
G04,F07,100
G04,J21,25
G04,M18,100
G04,N09,100
G05,C24,25
G05,D09,100
G05,G10,25
G05,H19,100
G05,I08,100
G05,L04,25
G06,A24,50
G06,C16,100
G06,D23,50
G06,I05,25
G06,J13,50
G06,L05,25
G07,D19,50
G07,G23,50
G07,H14,100
G07,I04,25
G07,K10,50
G07,P07,50
H01,A07,100
H01,A18,100
H01,D22,50
H01,I09,25
H01,P01,25
H01,P10,50
H02,D02,100
H02,E07,50
H02,I24,25
H02,N11,25
H02,O15,100
H02,P20,100
H03,A21,100
H03,B16,100
H03,E13,50
H03,G06,50
H03,L07,25
H03,N18,50
H04,B18,100
H04,C02,50
H04,H10,100
H04,I14,100
H04,J07,100
H04,M19,50
H05,A08,100
H05,A17,25
H05,D05,100
H05,F15,25
H05,F21,50
H05,O10,100
H06,C06,50
H06,E11,50
H06,H03,50
H06,K20,100
H06,L12,50
H06,P18,50
