Source well,Destination well,Transfer volume
A01,E07,100
A01,F24,100
A01,K24,50
A01,M12,100
A01,N05,50
A01,N10,25
A02,A07,25
A02,B03,25
A02,E16,100
A02,F13,50
A02,I18,50
A02,P21,50
A03,B08,100
A03,E24,100
A03,I16,50
A03,K01,50
A03,N21,100
A03,P13,100
A04,A24,100
A04,D06,100
A04,I10,25
A04,J09,100
A04,J22,25
A04,O07,25
A05,C23,100
A05,E09,25
A05,F21,100
A05,O08,100
A05,P04,50
A05,P09,25
A06,D14,25
A06,E06,100
A06,E14,100
A06,I23,25
A06,L02,100
A06,N22,50
A07,B11,100
A07,D18,25
A07,F02,100
A07,K06,25
A07,K20,25
A07,M09,25
B01,C07,50
B01,D24,100
B01,E15,50
B01,E23,100
B01,F15,25
B01,N03,100
B02,B15,25
B02,G15,25
B02,I24,50
B02,J04,50
B02,J23,50
B02,M03,50
B03,A01,25
B03,E21,25
B03,H19,25
B03,L13,25
B03,N04,50
B03,O09,25
B04,A12,25
B04,C08,100
B04,C19,50
B04,J10,50
B04,L22,25
B04,P01,25
B05,G07,50
B05,H21,100
B05,K10,100
B05,N06,100
B05,N11,50
B05,O23,25
B06,C18,100
B06,H02,100
B06,I14,50
B06,J24,25
B06,M08,100
B06,P16,100
B07,A03,100
B07,A22,50
B07,E11,25
B07,H13,50
B07,J02,25
B07,L24,50
C01,A15,100
C01,E17,25
C01,H23,25
C01,I04,25
C01,L10,100
C01,N01,50
C02,B02,25
C02,B10,100
C02,C05,25
C02,C11,100
C02,I17,50
C02,N18,100
C03,A13,50
C03,G01,50
C03,H12,25
C03,I19,25
C03,J05,50
C03,L23,100
C04,A18,100
C04,B24,50
C04,H08,50
C04,K14,50
C04,M05,100
C04,P15,50
C05,B14,50
C05,G10,50
C05,I06,25
C05,J19,50
C05,M22,100
C05,P06,25
C06,D04,25
C06,E19,50
C06,G06,50
C06,G14,100
C06,H11,50
C06,H22,50
C07,A10,50
C07,B23,25
C07,D05,25
C07,E18,25
C07,G03,50
C07,H14,100
D01,A02,25
D01,D08,100
D01,H24,25
D01,K18,25
D01,M14,100
D01,N09,100
D02,C20,50
D02,J13,50
D02,J20,25
D02,K04,25
D02,M15,50
D02,N08,25
D03,A04,50
D03,C12,50
D03,F12,25
D03,M20,25
D03,P07,50
D03,P22,50
D04,D11,100
D04,J21,100
D04,K16,50
D04,K23,100
D04,L07,50
D04,M07,50
D05,C10,25
D05,C21,100
D05,E08,25
D05,H07,100
D05,N12,50
D05,P24,100
D06,A09,25
D06,C24,25
D06,E02,50
D06,F08,50
D06,F11,50
D06,F18,50
D07,B19,50
D07,D15,25
D07,F04,25
D07,G24,25
D07,O01,50
D07,O11,25
E01,B07,100
E01,E03,100
E01,F17,25
E01,H16,25
E01,K09,100
E01,K22,100
E02,L08,50
E02,L12,50
E02,N17,100
E02,O02,50
E02,O13,50
E02,O21,50
E03,B16,100
E03,G13,50
E03,J08,100
E03,O03,100
E03,O18,100
E03,P19,25
E04,C01,100
E04,D03,100
E04,D17,50
E04,K21,50
E04,M16,25
E04,N13,25
E05,F05,25
E05,H10,50
E05,H17,25
E05,I01,100
E05,M11,100
E05,M17,100
E06,B06,100
E06,C13,100
E06,D22,50
E06,G21,50
E06,L11,25
E06,M02,100
E07,F14,50
E07,I05,25
E07,I21,25
E07,L20,50
E07,N02,25
E07,O12,50
F01,D12,100
F01,G16,25
F01,I22,100
F01,K08,100
F01,L06,50
F01,P23,100
F02,F19,25
F02,G17,25
F02,J16,25
F02,K07,50
F02,K12,100
F02,L03,25
F03,C17,50
F03,F09,100
F03,I08,50
F03,J01,100
F03,J18,25
F03,K15,25
F04,A08,25
F04,H15,100
F04,I11,100
F04,J06,50
F04,L21,100
F04,M19,50
F05,E04,25
F05,G18,50
F05,H20,100
F05,J15,50
F05,K11,25
F05,P02,25
F06,C04,25
F06,G23,100
F06,L01,25
F06,L17,100
F06,O16,100
F06,P10,25
F07,A17,25
F07,D20,50
F07,F07,50
F07,N14,100
F07,O04,100
F07,O10,50
G01,D10,25
G01,D21,100
G01,G04,25
G01,H04,100
G01,O15,25
G01,O17,50
G02,A21,100
G02,B21,25
G02,H09,50
G02,L05,50
G02,M01,100
G02,M10,25
G03,B04,100
G03,C15,25
G03,F22,100
G03,I07,25
G03,L14,100
G03,O20,25
G04,B09,50
G04,E01,100
G04,E10,100
G04,F20,25
G04,O24,100
G04,P05,100
G05,C02,25
G05,C16,25
G05,D19,100
G05,G19,100
G05,J07,25
G05,L09,25
G06,B05,50
G06,B22,100
G06,G11,50
G06,I20,25
G06,J14,25
G06,O05,50
G07,A06,25
G07,A20,100
G07,F01,50
G07,F16,100
G07,O14,50
G07,P20,25
H01,A16,25
H01,D09,100
H01,I02,50
H01,L04,50
H01,L18,50
H01,O22,50
H02,C22,25
H02,I15,50
H02,J03,50
H02,L15,25
H02,M04,50
H02,P17,100
H03,D13,50
H03,G02,50
H03,H03,100
H03,I12,100
H03,M21,25
H03,N19,50
H04,A05,100
H04,D23,50
H04,E13,25
H04,M18,50
H04,P08,50
H04,P12,50
H05,D07,25
H05,F23,50
H05,G08,100
H05,G22,50
H05,K13,50
H05,N16,50
H06,B17,100
H06,C14,50
H06,D02,100
H06,F10,50
H06,K02,25
H06,O19,25
H07,A23,25
H07,B20,50
H07,D16,25
H07,E12,50
H07,G05,50
H07,H01,25
I01,F06,25
I01,G09,100
I01,L16,25
I01,M06,100
I01,M23,50
I01,P18,25
I02,G20,50
I02,H18,50
I02,I09,100
I02,J12,50
I02,O06,100
I02,P03,25
I03,B12,25
I03,D01,25
I03,E05,25
I03,G12,100
I03,K19,50
I03,L19,25
I04,A11,100
I04,A19,100
I04,B13,100
I04,C03,100
I04,H05,100
I04,J17,50
