Source well,Destination well,Transfer volume
A01,A12,25
A01,D14,25
A01,G07,25
A01,H21,25
A01,O21,25
A02,D17,25
A02,E03,25
A02,K13,25
A02,M18,25
A02,P16,25
A03,D20,25
A03,E07,25
A03,F04,25
A03,M19,25
A03,O14,25
A03,P12,25
A04,D12,25
A04,G01,25
A04,G10,25
A04,J01,25
A04,O19,25
A05,C17,25
A05,D24,25
A05,F16,25
A05,L08,25
A05,O01,25
A05,O10,25
A06,C09,25
A06,C18,25
A06,G05,25
A06,J08,25
A06,J23,25
A07,C21,25
A07,E02,25
A07,M14,25
A07,P13,25
A07,P19,25
B01,B10,25
B01,C08,25
B01,C24,25
B01,D03,25
B01,K16,25
B02,C16,25
B02,H10,25
B02,H19,25
B02,I08,25
B02,L07,25
B03,A22,25
B03,B07,25
B03,G13,25
B03,J19,25
B03,N09,25
B03,O07,25
B04,E22,25
B04,K06,25
B04,N10,25
B04,O09,25
B04,P06,25
B04,P23,25
B05,B21,25
B05,E14,25
B05,J13,25
B05,K22,25
B05,N05,25
B06,C13,25
B06,F22,25
B06,H16,25
B06,I18,25
B06,K04,25
B06,L03,25
B07,D01,25
B07,E08,25
B07,E21,25
B07,G14,25
B07,L10,25
B07,P22,25
C01,G08,25
C01,G23,25
C01,J02,25
C01,N21,25
C01,P15,25
C02,A18,25
C02,C06,25
C02,F18,25
C02,J12,25
C02,K11,25
C02,P01,25
C03,A21,25
C03,D15,25
C03,G09,25
C03,H23,25
C03,K05,25
C03,P07,25
C04,B24,25
C04,C03,25
C04,H04,25
C04,J14,25
C04,M22,25
C04,O16,25
C05,C12,25
C05,H13,25
C05,H20,25
C05,M04,25
C05,M24,25
C05,N04,25
C06,C02,25
C06,C22,25
C06,E13,25
C06,F03,25
C06,N14,25
C06,N19,25
C07,D21,25
C07,H01,25
C07,I20,25
C07,K12,25
C07,N11,25
D01,F06,25
D01,H14,25
D01,I15,25
D01,O03,25
D01,O24,25
D02,D06,25
D02,E15,25
D02,L15,25
D02,M23,25
D02,P17,25
D03,A11,25
D03,B03,25
D03,M17,25
D03,N24,25
D03,O05,25
D04,A23,25
D04,C14,25
D04,F05,25
D04,K02,25
D05,D08,25
D05,G16,25
D05,G20,25
D05,L17,25
D05,M06,25
D05,N13,25
D06,C20,25
D06,J06,25
D06,J18,25
D06,L14,25
D06,M01,25
D07,E16,25
D07,E19,25
D07,J07,25
D07,J09,25
D07,K01,25
D07,L21,25
E01,C04,25
E01,H22,25
E01,J15,25
E01,M12,25
E01,N01,25
E02,C23,25
E02,D19,25
E02,F12,25
E02,J05,25
E02,K08,25
E02,K09,25
E03,L24,25
E03,P10,25
E04,E24,25
E04,F23,25
E04,H09,25
E04,M07,25
E04,P08,25
E05,A15,25
E05,B22,25
E05,D05,25
E05,F14,25
E05,O04,25
E05,O18,25
E06,A06,25
E06,F02,25
E06,I17,25
E06,J22,25
E06,M10,25
E07,C07,25
E07,G18,25
E07,J16,25
E07,K15,25
E07,L01,25
E07,L23,25
F01,E05,25
F01,G19,25
F01,H15,25
F01,I10,25
F01,J17,25
F02,F01,25
F02,I13,25
F02,K07,25
F02,N12,25
F02,O20,25
F02,P24,25
F03,A01,25
F03,J03,25
F03,N18,25
F03,O13,25
F04,E11,25
F04,E17,25
F04,F09,25
F04,G04,25
F04,N08,25
F05,E06,25
F05,E20,25
F05,L11,25
F05,N06,25
F05,N22,25
F06,C05,25
F06,I14,25
F06,J10,25
F06,K18,25
F06,L19,25
F06,N07,25
F07,E23,25
F07,F10,25
F07,I07,25
F07,J04,25
F07,J21,25
F07,K14,25
G01,C19,25
G01,J11,25
G01,L18,25
G01,M15,25
G01,N02,25
G01,O06,25
G02,B12,25
G02,D07,25
G02,E04,25
G02,F19,25
G02,I12,25
G02,K23,25
G03,F08,25
G03,H12,25
G03,I01,25
G03,I16,25
G03,K24,25
G03,N20,25
G04,A09,25
G04,B06,25
G04,F15,25
G04,G03,25
G04,I21,25
G05,A20,25
G05,B08,25
G05,E01,25
G05,I09,25
G05,L12,25
G05,P21,25
G06,B04,25
G06,F13,25
G06,N17,25
G07,A08,25
G07,A24,25
G07,D04,25
G07,J24,25
G07,M09,25
G07,N16,25
H01,E10,25
H01,F21,25
H01,I19,25
H01,L02,25
H01,P09,25
H02,B23,25
H02,F11,25
H02,I05,25
H02,K20,25
H02,M13,25
H03,A13,25
H03,D11,25
H03,D23,25
H03,G06,25
H03,M20,25
H03,P04,25
H04,B02,25
H04,B18,25
H04,E09,25
H04,G24,25
H04,H11,25
H04,I04,25
H05,D16,25
H05,F24,25
