from,to,vol
A01,E07,25
A01,J15,25
A01,K24,25
A01,M12,25
A01,N05,25
A01,N20,25
A02,A13,25
A02,A21,25
A02,D08,25
A02,F24,25
A02,N09,25
A03,A12,25
A03,F10,25
A03,H24,25
A03,M01,25
A03,M21,25
A03,P02,25
A04,F03,25
A04,F22,25
A04,K19,25
A04,N10,25
A04,O11,25
A05,G06,25
A05,J13,25
A05,L01,25
A05,M15,25
A05,O24,25
A06,A14,25
A06,B12,25
A06,B21,25
A06,C20,25
A06,G07,25
A06,P05,25
A07,B01,25
A07,C06,25
A07,C16,25
A07,F13,25
A07,H22,25
A07,I18,25
B01,A23,25
B01,B22,25
B01,E04,25
B01,E16,25
B01,H01,25
B01,P13,25
B02,C12,25
B02,F16,25
B02,I07,25
B02,K23,25
B02,L22,25
B02,P07,25
B03,A04,25
B03,A09,25
B03,E24,25
B03,J02,25
B03,P14,25
B03,P21,25
B04,C02,25
B04,D11,25
B04,F01,25
B04,I16,25
B04,K17,25
B04,N21,25
B05,A24,25
B05,B08,25
B05,B14,25
B05,G13,25
B05,I02,25
B05,P22,25
B06,C24,25
B06,D06,25
B06,H16,25
B06,I13,25
B06,K04,25
B06,P24,25
B07,C21,25
B07,I03,25
B07,I12,25
B07,J03,25
B07,J09,25
B07,L20,25
C01,B15,25
C01,D20,25
C01,K15,25
C01,L06,25
C01,M04,25
C02,A16,25
C02,C04,25
C02,D07,25
C02,J11,25
C02,M19,25
C02,N19,25
C03,B10,25
C03,F21,25
C03,G22,25
C03,H08,25
C03,I14,25
C03,M05,25
C04,B02,25
C04,D15,25
C04,F23,25
C04,M07,25
C05,C23,25
C05,J19,25
C05,K09,25
C05,L04,25
C05,O08,25
C06,D18,25
C06,E06,25
C06,E14,25
C06,F08,25
C06,K20,25
C06,L13,25
C07,C10,25
C07,F18,25
C07,I05,25
C07,N12,25
D01,E03,25
D01,F11,25
D01,H17,25
D01,I09,25
D01,I17,25
D01,J08,25
D02,A11,25
D02,B16,25
D02,I08,25
D02,L02,25
D02,N17,25
D03,A01,25
D03,D13,25
D03,F02,25
D03,G12,25
D03,L18,25
D03,O17,25
D04,B11,25
D04,C01,25
D04,E11,25
D04,M24,25
D04,P03,25
D05,E12,25
D05,F19,25
