Well	dilution_factor_for_100uM	TSO_vol_for_100uM	H20_vol_for_100uM
A1	9.50661669899544	2.1037978739706	17.8962021260294
A2	8.35154353610149	2.39476689710655	17.6052331028935
A3	9.10671928283609	2.19618057599459	17.8038194240054
A4	8.00793317189338	2.49752333975475	17.5024766602453
A5	7.07443959034591	2.82707905616904	17.172920943831
A6	6.63949184755427	3.01227871939736	16.9877212806026
A7	7.59069016074138	2.63480652964059	17.3651934703594
A8	5.36479946047983	3.72800514675924	16.2719948532408
A9	5.39878810428912	3.70453509447996	16.29546490552
A10	8.94429474600833	2.23606226851207	17.7639377314879
A11	4.37410425170634	4.5723647286637	15.4276352713363
A12	-0.023701594551797	-843.825083426029	863.825083426029
B1	7.18056555200321	2.78529592901223	17.2147040709878
B2	5.6321372586914	3.55104982023234	16.4489501797677
B3	4.09267071008321	4.88678455139953	15.1132154486005
B4	8.83848865243549	2.26283030804015	17.7371696919598
B5	7.49522958939865	2.66836389218661	17.3316361078134
B6	7.8543851367966	2.54634826936396	17.453651730636
B7	7.54703640001763	2.65004684487189	17.3499531551281
B8	7.28386076402307	2.74579658342528	17.2542034165747
B9	8.2853305410642	2.41390490106278	17.5860950989372
B10	6.0072613922332	3.32930410284095	16.6706958971591
B11	7.5485644332975	2.64951040382962	17.3504895961704
B12	15.7290630063864	1.27153155861093	18.7284684413891
C1	6.5917645962243	3.03408893143056	16.9659110685694
C2	6.11579249219307	3.27022213810073	16.7297778618993
C3	8.51249108801347	2.34948850967518	17.6505114903248
C4	6.17826927150254	3.23715252947142	16.7628474705286
C5	5.76659699912961	3.46824999267657	16.5317500073234
C6	6.58137550954878	3.03887841849814	16.9611215815019
C7	4.8543018758743	4.12005691269413	15.8799430873059
C8	5.73903255553412	3.48490791896869	16.5150920810313
C9	7.24456184978639	2.76069145583866	17.2393085441613
C10	7.26425949481811	2.75320561087704	17.246794389123
C11	6.59118700637309	3.03435481054653	16.9656451894535
C12	7.38940373356947	2.70657832771291	17.2934216722871
D1	8.18258824538579	2.44421439772166	17.5557856022783
D2	8.78670429032418	2.27616627795518	17.7238337220448
D3	8.23233824807383	2.42944342145799	17.570556578542
D4	8.5919033492099	2.3277729261048	17.6722270738952
D5	7.45006637538826	2.68453984062091	17.3154601593791
D6	7.7566120177804	2.57844532563369	17.4215546743663
D7	7.21197009413125	2.77316735080128	17.2268326491987
D8	7.05364548089527	2.83541327022599	17.164586729774
D9	8.05882390545637	2.48175170901286	17.5182482909871
D10	8.17970021259528	2.44507738427914	17.5549226157209
D11	8.66648339938541	2.30774110770446	17.6922588922955
D12	8.22110221658851	2.43276381598128	17.5672361840187
E1	8.98431614042211	2.22610154044071	17.7738984595593
E2	7.15341677684306	2.79586673388635	17.2041332661137
E3	6.14490464027684	3.25472910822892	16.7452708917711
E4	4.00032263846567	4.99959673444515	15.0004032655548
E5	0.000231300610694077	86467.5624503751	-86447.5624503751
E6	-0.000154059548968091	-129819.930890116	129839.930890116
E7	7.16894648599098	2.78981019583317	17.2101898041668
E8	0.000112952476915489	177065.61685198	-177045.61685198
E9	9.94373194989423	2.01131729020639	17.9886827097936
E10	7.32172228676323	2.73159773297569	17.2684022670243
E11	7.50610293417167	2.66449849880817	17.3355015011918
E12	7.58893323500065	2.63541651779972	17.3645834822003
F1	6.88859082004632	2.90335142882903	17.096648571171
F2	6.28383110061305	3.18277173268531	16.8172282673147
F3	9.00155783318295	2.22183763862216	17.7781623613778
F4	6.01516932417977	3.32492718361294	16.6750728163871
F5	6.69724418616959	2.98630293954367	17.0136970604563
F6	6.98561269577547	2.86302732072377	17.1369726792762
F7	6.08972932938999	3.28421821697015	16.7157817830299
F8	5.90179931583712	3.38879703115814	16.6112029688419
F9	5.72860623149179	3.4912506099746	16.5087493900254
F10	5.07537574539345	3.94059494376402	16.059405056236
F11	7.0548793264377	2.83491737768658	17.1650826223134
F12	20.7895846146048	0.962020183219528	19.0379798167805
G1	9.42437364787194	2.12215694615589	17.8778430538441
G2	6.30974960932374	3.16969788633872	16.8303021136613
G3	7.44814423163018	2.68523264024153	17.3147673597585
G4	7.80581581203584	2.56219215026338	17.4378078497366
G5	7.09378326056792	2.81937004069093	17.1806299593091
G6	6.43627464553806	3.10738759631163	16.8926124036884
G7	5.19636195624773	3.84884659082562	16.1511534091744
G8	5.64165960648984	3.54505613507649	16.4549438649235
G9	6.43867804118169	3.10622768712464	16.8937723128754
G10	5.56218016546619	3.59571236548101	16.404287634519
G11	6.30452132410206	3.17232648948944	16.8276735105106
G12	-0.00240417030088881	-8318.8782394517	8338.8782394517
H1	7.17699821003972	2.78668036617628	17.2133196338237
H2	7.69677457180803	2.59849107095543	17.4015089290446
H3	8.86412248114376	2.25628651257303	17.743713487427
H4	9.30414816943904	2.14957883685614	17.8504211631439
H5	11.2636605822039	1.77562168657666	18.2243783134233
H6	20.5272420824087	0.974315006356332	19.0256849936437
H7	22.1414041601576	0.903285078729968	19.09671492127
H8	19.4095077281862	1.03042283606999	18.96957716393
H9	0.00200373943651614	9981.33771064247	-9961.33771064247
H10	0.0910527978844159	219.652778000171	-199.652778000171
H11	-5.1489316040377e-06	-3884300.96533354	3884320.96533354
H12	-0.00148505982029717	-13467.4709574985	13487.4709574985
