Well	dilution_factor_for_100uM	TSO_vol_for_100uM_2	H2O_vol_for_100uM_2	
A1	9,51	3,00	25,52	
A2	8,35	3,00	22,05	
A3	9,11	3,00	24,32	
A4	8,01	3,00	21,02	
A5	7,07	3,00	18,22	
A6	6,64	3,00	16,92	
A7	7,59	3,00	19,77	
A8	5,36	3,00	13,09	
A9	5,40	3,00	13,20	
A10	8,94	3,00	23,83	
A11	4,37	3,00	10,12	
A12	-0,02	3,00	-3,07	EMPTY
B1	7,18	3,00	18,54	
B2	5,63	3,00	13,90	
B3	4,09	3,00	9,28	
B4	8,84	3,00	23,52	
B5	7,50	3,00	19,49	
B6	7,85	3,00	20,56	
B7	7,55	3,00	19,64	
B8	7,28	3,00	18,85	
B9	8,29	3,00	21,86	
B10	6,01	3,00	15,02	
B11	7,55	3,00	19,65	
B12	15,73	3,00	44,19	LOW VOL.
C1	6,59	3,00	16,78	
C2	6,12	3,00	15,35	
C3	8,51	3,00	22,54	
C4	6,18	3,00	15,53	
C5	5,77	3,00	14,30	
C6	6,58	3,00	16,74	
C7	4,85	3,00	11,56	
C8	5,74	3,00	14,22	
C9	7,24	3,00	18,73	
C10	7,26	3,00	18,79	
C11	6,59	3,00	16,77	
C12	7,39	3,00	19,17	
D1	8,18	3,00	21,55	
D2	8,79	3,00	23,36	
D3	8,23	3,00	21,70	
D4	8,59	3,00	22,78	
D5	7,45	3,00	19,35	
D6	7,76	3,00	20,27	
D7	7,21	3,00	18,64	
D8	7,05	3,00	18,16	
D9	8,06	3,00	21,18	
D10	8,18	3,00	21,54	
D11	8,67	3,00	23,00	
D12	8,22	3,00	21,66	
E1	8,98	3,00	23,95	LOW VOL.
E2	7,15	3,00	18,46	
E3	6,14	3,00	15,43	
E4	4,00	3,00	9,00	LOW VOL.
E5	0,00	3,00	-3,00	EMPTY
E6	0,00	3,00	-3,00	EMPTY
E7	7,17	3,00	18,51	LOW VOL.
E8	0,00	3,00	-3,00	EMPTY
E9	9,94	3,00	26,83	LOW VOL.
E10	7,32	3,00	18,97	
E11	7,51	3,00	19,52	
E12	7,59	3,00	19,77	
F1	6,89	3,00	17,67	
F2	6,28	3,00	15,85	
F3	9,00	3,00	24,00	
F4	6,02	3,00	15,05	
F5	6,70	3,00	17,09	
F6	6,99	3,00	17,96	
F7	6,09	3,00	15,27	
F8	5,90	3,00	14,71	
F9	5,73	3,00	14,19	
F10	5,08	3,00	12,23	
F11	7,05	3,00	18,16	
F12	20,79	3,00	59,37	LOW VOL.
G1	9,42	3,00	25,27	
G2	6,31	3,00	15,93	
G3	7,45	3,00	19,34	
G4	7,81	3,00	20,42	
G5	7,09	3,00	18,28	
G6	6,44	3,00	16,31	
G7	5,20	3,00	12,59	
G8	5,64	3,00	13,92	
G9	6,44	3,00	16,32	
G10	5,56	3,00	13,69	
G11	6,30	3,00	15,91	
G12	0,00	3,00	-3,01	EMPTY
H1	7,18	3,00	18,53	
H2	7,70	3,00	20,09	
H3	8,86	3,00	23,59	
H4	9,30	3,00	24,91	
H5	11,26	3,00	30,79	
H6	20,53	3,00	58,58	LOW VOL.
H7	22,14	3,00	63,42	LOW VOL.
H8	19,41	3,00	55,23	LOW VOL.
H9	0,00	3,00	-2,99	EMPTY
H10	0,09	3,00	-2,73	EMPTY
H11	0,00	3,00	-3,00	EMPTY
H12	0,00	3,00	-3,00	EMPTY
