Well	ID	plate	A260	A280	exp_concentration	obs_concentration	exp_molarity	obs_molarity	delta_molarity	source_obs_molarity	dilution_factor_for_100uM
A1	1	1	42.5503333333333	23.2713333333333	1400	1182.89926666667	100	84.4928047619048	15.5071952380952	844.928047619048	8.44928047619048
A2	2	1	37.1753333333333	21.5206666666667	1400	1033.47426666667	100	73.8195904761905	26.1804095238095	738.195904761905	7.38195904761905
A3	3	1	40.176	23.1306666666667	1400	1116.8928	100	79.7780571428572	20.2219428571428	797.780571428572	7.97780571428572
A4	4	1	36.4546666666667	19.517	1400	1013.43973333333	100	72.3885523809524	27.6114476190476	723.885523809524	7.23885523809524
A5	5	1	31.818	17.2576666666667	1400	884.5404	100	63.1814571428571	36.8185428571429	631.814571428571	6.31814571428571
A6	6	1	29.496	15.8956666666667	1400	819.9888	100	58.5706285714286	41.4293714285714	585.706285714286	5.85706285714286
A7	7	1	34.4376666666667	18.7213333333333	1400	957.367133333333	100	68.3833666666667	31.6166333333333	683.833666666667	6.83833666666667
A8	8	1	23.509	12.8413333333333	1400	653.5502	100	46.6821571428572	53.3178428571428	466.821571428571	4.66821571428572
A9	9	1	24.446	13.518	1400	679.5988	100	48.5427714285714	51.4572285714286	485.427714285714	4.85427714285714
A10	10	1	40.1683333333333	22.434	1400	1116.67966666667	100	79.7628333333333	20.2371666666667	797.628333333333	7.97628333333333
A11	11	1	19.5773333333333	10.808	1400	544.249866666667	100	38.8749904761905	61.1250095238095	388.749904761905	3.88749904761905
A12	12	1	-0.108	-0.0533333333333333	1400	-3.0024	100	-0.214457142857143	100.214457142857	-2.14457142857143	-0.0214457142857143
B1	13	1	32.1476666666667	17.8536666666667	1400	893.705133333333	100	63.836080952381	36.163919047619	638.36080952381	6.3836080952381
B2	14	1	24.914	13.8986666666667	1400	692.6092	100	49.4720857142857	50.5279142857143	494.720857142857	4.94720857142857
B3	15	1	18.239	10.3836666666667	1400	507.0442	100	36.2174428571429	63.7825571428571	362.174428571429	3.62174428571429
B4	16	1	39.7433333333333	21.5106666666667	1400	1104.86466666667	100	78.9189047619048	21.0810952380952	789.189047619048	7.89189047619048
B5	17	1	33.695	18.4743333333333	1400	936.721	100	66.9086428571429	33.0913571428571	669.086428571429	6.69086428571429
B6	18	1	35.222	19.2516666666667	1400	979.1716	100	69.9408285714286	30.0591714285714	699.408285714286	6.99408285714286
B7	19	1	33.8706666666667	18.9743333333333	1400	941.604533333333	100	67.2574666666667	32.7425333333333	672.574666666667	6.72574666666667
B8	20	1	32.2536666666667	18.104	1400	896.651933333333	100	64.0465666666667	35.9534333333333	640.465666666667	6.40465666666667
B9	21	1	37.3016666666667	20.4843333333333	1400	1036.98633333333	100	74.0704523809524	25.9295476190476	740.704523809524	7.40704523809524
B10	22	1	27.062	15.202	1400	752.3236	100	53.7374	46.2626	537.374	5.37374
B11	23	1	33.9496666666667	19.0466666666667	1400	943.800733333333	100	67.4143380952381	32.5856619047619	674.143380952381	6.74143380952381
B12	24	1	70.294	40.4946666666667	1400	1954.1732	100	139.5838	-39.5838	1395.838	13.95838
C1	25	1	29.239	17.0446666666667	1400	812.8442	100	58.0603	41.9397	580.603	5.80603
C2	26	1	26.7036666666667	15.9286666666667	1400	742.361933333333	100	53.0258523809524	46.9741476190476	530.258523809524	5.30258523809524
C3	27	1	38.3893333333333	22.031	1400	1067.22346666667	100	76.2302476190476	23.7697523809524	762.302476190476	7.62302476190476
C4	28	1	27.6546666666667	15.5133333333333	1400	768.799733333333	100	54.9142666666667	45.0857333333333	549.142666666667	5.49142666666667
C5	29	1	25.288	14.325	1400	703.0064	100	50.2147428571429	49.7852571428571	502.147428571429	5.02147428571429
C6	30	1	29.4613333333333	16.1236666666667	1400	819.025066666667	100	58.5017904761905	41.4982095238095	585.017904761905	5.85017904761905
C7	31	1	21.427	11.9013333333333	1400	595.6706	100	42.5479	57.4521	425.479	4.25479
C8	32	1	25.345	14.407	1400	704.591	100	50.3279285714286	49.6720714285714	503.279285714286	5.03279285714286
C9	33	1	31.704	18.2103333333333	1400	881.3712	100	62.9550857142857	37.0449142857143	629.550857142857	6.29550857142857
C10	34	1	31.7606666666667	17.8373333333333	1400	882.946533333333	100	63.0676095238095	36.9323904761905	630.676095238095	6.30676095238095
C11	35	1	28.981	17.0413333333333	1400	805.6718	100	57.5479857142857	42.4520142857143	575.479857142857	5.75479857142857
