Well	ID	plate	A260	A280	conc_corr_Fact	stock_nmoles	obs_source_MW	exp_conc	obs_conc	corr_obs_conc	exp_molarity	obs_molarity	delta_molarity	source_obs_molarity	dilution_factor_for_100uM	TSO_vol_for_100uM	H20_vol_for_100uM	TSO_vol_for_100uM_2	H2O_vol_for_100uM_2
A1	1	1	42.5503333333333	23.2713333333333	31.1951219512195	92	13963.5	1396.35	2127.66666666667	1327.45642276423	100	95.0661669899543	4.93383301004566	950.661669899543	9.50661669899544	2.1037978739706	17.8962021260294	3	25.5198500969863
A2	2	1	37.1753333333333	21.5206666666667	31.3488372093023	97	13956.1	1395.61	1859	1165.54976744186	100	83.5154353610149	16.4845646389851	835.154353610149	8.35154353610149	2.39476689710655	17.6052331028935	3	22.0546306083045
A3	3	1	40.176	23.1306666666667	31.547619047619	95	13916.9	1391.69	2008.66666666667	1267.37301587302	100	91.0671928283609	8.9328071716391	910.671928283609	9.10671928283609	2.19618057599459	17.8038194240054	3	24.3201578485083
A4	4	1	36.4546666666667	19.517	30.7297297297297	81	13991.2	1399.12	1823	1120.40594594595	100	80.0793317189338	19.9206682810662	800.793317189338	8.00793317189338	2.49752333975475	17.5024766602453	3	21.0237995156801
A5	5	1	31.818	17.2576666666667	31.05	89	13963	1396.3	1590.66666666667	987.804	100	70.7443959034592	29.2556040965408	707.443959034591	7.07443959034591	2.82707905616904	17.172920943831	3	18.2233187710377
A6	6	1	29.496	15.8956666666667	31.5	77	13995.8	1399.58	1475	929.25	100	66.3949184755427	33.6050815244573	663.949184755427	6.63949184755427	3.01227871939736	16.9877212806026	3	16.9184755426628
A7	7	1	34.4376666666667	18.7213333333333	30.7297297297297	82	13939.8	1393.98	1721.66666666667	1058.12702702703	100	75.9069016074138	24.0930983925862	759.069016074138	7.59069016074138	2.63480652964059	17.3651934703594	3	19.7720704822241
A8	8	1	23.509	12.8413333333333	31.7631578947368	87	13917.5	1391.75	1175.33333333333	746.645964912281	100	53.6479946047983	46.3520053952017	536.479946047983	5.36479946047983	3.72800514675924	16.2719948532408	3	13.0943983814395
A9	9	1	24.446	13.518	30.8636363636364	97	13975.6	1397.56	1222.33333333333	754.51303030303	100	53.9878810428912	46.0121189571088	539.878810428912	5.39878810428912	3.70453509447996	16.29546490552	3	13.1963643128674
A10	10	1	40.1683333333333	22.434	31.1860465116279	96	14004.9	1400.49	2008.33333333333	1252.63953488372	100	89.4429474600833	10.5570525399167	894.429474600833	8.94429474600833	2.23606226851207	17.7639377314879	3	23.832884238025
A11	11	1	19.5773333333333	10.808	31.2926829268293	92	14005.3	1400.53	978.833333333333	612.606422764228	100	43.7410425170634	56.2589574829366	437.410425170634	4.37410425170634	4.5723647286637	15.4276352713363	3	10.122312755119
A12	12	1	-0.108	-0.0533333333333333	30.7692307692308	86	14004.9	1400.49	-5.394	-3.31938461538462	100	-0.23701594551797	100.237015945518	-2.3701594551797	-0.023701594551797	-843.825083426029	863.825083426029	3	-3.07110478365539
B1	13	1	32.1476666666667	17.8536666666667	31.2631578947368	85	13996.2	1399.62	1607.33333333333	1005.00631578947	100	71.8056555200321	28.1943444799679	718.056555200321	7.18056555200321	2.78529592901223	17.2147040709878	3	18.5416966560096
B2	14	1	24.914	13.8986666666667	31.575	90	13970.7	1397.07	1246	786.849	100	56.321372586914	43.678627413086	563.21372586914	5.6321372586914	3.55104982023234	16.4489501797677	3	13.8964117760742
B3	15	1	18.239	10.3836666666667	31.3	90	13948.6	1394.86	911.933333333333	570.870266666667	100	40.9267071008321	59.0732928991679	409.267071008321	4.09267071008321	4.88678455139953	15.1132154486005	3	9.27801213024963
B4	16	1	39.7433333333333	21.5106666666667	31.1282051282051	87	13996	1399.6	1987	1237.03487179487	100	88.3848865243549	11.6151134756451	883.848865243549	8.83848865243549	2.26283030804015	17.7371696919598	3	23.5154659573065
B5	17	1	33.695	18.4743333333333	31.1538461538462	87	14004.6	1400.46	1684.66666666667	1049.67692307692	100	74.9522958939865	25.0477041060135	749.522958939865	7.49522958939865	2.66836389218661	17.3316361078134	3	19.4856887681959
B6	18	1	35.222	19.2516666666667	31.3333333333333	101	14052.9	1405.29	1761.33333333333	1103.76888888889	100	78.543851367966	21.456148632034	785.43851367966	7.8543851367966	2.54634826936396	17.453651730636	3	20.5631554103898
B7	19	1	33.8706666666667	18.9743333333333	31.1463414634146	92	13979.4	1397.94	1693.66666666667	1055.03040650407	100	75.4703640001763	24.5296359998237	754.703640001763	7.54703640001763	2.65004684487189	17.3499531551281	3	19.6411092000529
